scenario,sensor,impact
1,1,0.0
1,CI1004X,90000.0
1,CI100X,90000.0
1,CI1074X,90000.0
1,CI1226X,90000.0
1,CI1277X,90000.0
1,CI1305X,90000.0
1,CI1360X,90000.0
1,CI1385X,90000.0
1,CI1479X,90000.0
1,CI1508X,90000.0
1,CI150X,90000.0
1,CI15X,90000.0
1,CI1638X,90000.0
1,CI170X,90000.0
1,CI1786X,90000.0
1,CI193X,90000.0
1,CI1X,90000.0
1,CI2,90000.0
1,CI2056X,90000.0
1,CI206X,90000.0
1,CI2124X,90000.0
1,CI2150X,90000.0
1,CI226X,90000.0
1,CI2274X,90000.0
1,CI227X,90000.0
1,CI2313X,90000.0
1,CI248X,90000.0
1,CI266X,90000.0
1,CI2879X,90000.0
1,CI2920X,90000.0
1,CI2994X,90000.0
1,CI3067X,90000.0
1,CI3105X,90000.0
1,CI3126X,90000.0
1,CI3171X,90000.0
1,CI3238X,90000.0
1,CI3330X,90000.0
1,CI333X,90000.0
1,CI3367X,90000.0
1,CI3386X,90000.0
1,CI3406X,90000.0
1,CI3449X,90000.0
1,CI3459X,90000.0
1,CI3462X,90000.0
1,CI3464X,90000.0
1,CI3465X,90000.0
1,CI3498X,90000.0
1,CI3499X,90000.0
1,CI3509X,90000.0
1,CI3512X,90000.0
1,CI3526X,90000.0
1,CI3540X,90000.0
1,CI3557X,90000.0
1,CI3560X,90000.0
1,CI3569X,90000.0
1,CI3581X,90000.0
1,CI501X,90000.0
1,CI69X,90000.0
1,CI765X,90000.0
1,FT150X,90000.0
1,PJ3531X,90000.0
1,PJ564X,90000.0
CI1004X,1,18000.0
CI1004X,CI1004X,0.0
CI1004X,CI100X,14400.0
CI1004X,CI1074X,90000.0
CI1004X,CI1226X,90000.0
CI1004X,CI1277X,90000.0
CI1004X,CI1305X,90000.0
CI1004X,CI1360X,90000.0
CI1004X,CI1385X,90000.0
CI1004X,CI1479X,90000.0
CI1004X,CI1508X,90000.0
CI1004X,CI150X,90000.0
CI1004X,CI15X,90000.0
CI1004X,CI1638X,90000.0
CI1004X,CI170X,90000.0
CI1004X,CI1786X,90000.0
CI1004X,CI193X,90000.0
CI1004X,CI1X,14400.0
CI1004X,CI2,90000.0
CI1004X,CI2056X,90000.0
CI1004X,CI206X,90000.0
CI1004X,CI2124X,90000.0
CI1004X,CI2150X,90000.0
CI1004X,CI226X,90000.0
CI1004X,CI2274X,90000.0
CI1004X,CI227X,90000.0
CI1004X,CI2313X,90000.0
CI1004X,CI248X,90000.0
CI1004X,CI266X,90000.0
CI1004X,CI2879X,90000.0
CI1004X,CI2920X,90000.0
CI1004X,CI2994X,90000.0
CI1004X,CI3067X,90000.0
CI1004X,CI3105X,90000.0
CI1004X,CI3126X,90000.0
CI1004X,CI3171X,90000.0
CI1004X,CI3238X,90000.0
CI1004X,CI3330X,90000.0
CI1004X,CI333X,18000.0
CI1004X,CI3367X,90000.0
CI1004X,CI3386X,90000.0
CI1004X,CI3406X,90000.0
CI1004X,CI3449X,43200.0
CI1004X,CI3459X,90000.0
CI1004X,CI3462X,90000.0
CI1004X,CI3464X,90000.0
CI1004X,CI3465X,90000.0
CI1004X,CI3498X,90000.0
CI1004X,CI3499X,90000.0
CI1004X,CI3509X,90000.0
CI1004X,CI3512X,90000.0
CI1004X,CI3526X,90000.0
CI1004X,CI3540X,90000.0
CI1004X,CI3557X,90000.0
CI1004X,CI3560X,90000.0
CI1004X,CI3569X,90000.0
CI1004X,CI3581X,90000.0
CI1004X,CI501X,90000.0
CI1004X,CI69X,90000.0
CI1004X,CI765X,90000.0
CI1004X,FT150X,90000.0
CI1004X,PJ3531X,90000.0
CI1004X,PJ564X,90000.0
CI100X,1,3600.0
CI100X,CI1004X,90000.0
CI100X,CI100X,0.0
CI100X,CI1074X,90000.0
CI100X,CI1226X,90000.0
CI100X,CI1277X,90000.0
CI100X,CI1305X,90000.0
CI100X,CI1360X,90000.0
CI100X,CI1385X,90000.0
CI100X,CI1479X,90000.0
CI100X,CI1508X,90000.0
CI100X,CI150X,90000.0
CI100X,CI15X,90000.0
CI100X,CI1638X,90000.0
CI100X,CI170X,90000.0
CI100X,CI1786X,90000.0
CI100X,CI193X,90000.0
CI100X,CI1X,90000.0
CI100X,CI2,90000.0
CI100X,CI2056X,90000.0
CI100X,CI206X,90000.0
CI100X,CI2124X,90000.0
CI100X,CI2150X,90000.0
CI100X,CI226X,90000.0
CI100X,CI2274X,90000.0
CI100X,CI227X,90000.0
CI100X,CI2313X,90000.0
CI100X,CI248X,90000.0
CI100X,CI266X,90000.0
CI100X,CI2879X,90000.0
CI100X,CI2920X,90000.0
CI100X,CI2994X,90000.0
CI100X,CI3067X,90000.0
CI100X,CI3105X,90000.0
CI100X,CI3126X,90000.0
CI100X,CI3171X,90000.0
CI100X,CI3238X,90000.0
CI100X,CI3330X,90000.0
CI100X,CI333X,90000.0
CI100X,CI3367X,90000.0
CI100X,CI3386X,90000.0
CI100X,CI3406X,90000.0
CI100X,CI3449X,90000.0
CI100X,CI3459X,90000.0
CI100X,CI3462X,90000.0
CI100X,CI3464X,90000.0
CI100X,CI3465X,90000.0
CI100X,CI3498X,90000.0
CI100X,CI3499X,90000.0
CI100X,CI3509X,90000.0
CI100X,CI3512X,90000.0
CI100X,CI3526X,90000.0
CI100X,CI3540X,90000.0
CI100X,CI3557X,90000.0
CI100X,CI3560X,90000.0
CI100X,CI3569X,90000.0
CI100X,CI3581X,90000.0
CI100X,CI501X,90000.0
CI100X,CI69X,90000.0
CI100X,CI765X,90000.0
CI100X,FT150X,90000.0
CI100X,PJ3531X,90000.0
CI100X,PJ564X,90000.0
CI1021X,1,14400.0
CI1021X,CI1004X,3600.0
CI1021X,CI100X,14400.0
CI1021X,CI1074X,90000.0
CI1021X,CI1226X,90000.0
CI1021X,CI1277X,90000.0
CI1021X,CI1305X,90000.0
CI1021X,CI1360X,90000.0
CI1021X,CI1385X,90000.0
CI1021X,CI1479X,90000.0
CI1021X,CI1508X,90000.0
CI1021X,CI150X,90000.0
CI1021X,CI15X,90000.0
CI1021X,CI1638X,90000.0
CI1021X,CI170X,90000.0
CI1021X,CI1786X,90000.0
CI1021X,CI193X,90000.0
CI1021X,CI1X,14400.0
CI1021X,CI2,90000.0
CI1021X,CI2056X,90000.0
CI1021X,CI206X,90000.0
CI1021X,CI2124X,90000.0
CI1021X,CI2150X,90000.0
CI1021X,CI226X,90000.0
CI1021X,CI2274X,90000.0
CI1021X,CI227X,90000.0
CI1021X,CI2313X,90000.0
CI1021X,CI248X,90000.0
CI1021X,CI266X,90000.0
CI1021X,CI2879X,90000.0
CI1021X,CI2920X,90000.0
CI1021X,CI2994X,90000.0
CI1021X,CI3067X,90000.0
CI1021X,CI3105X,90000.0
CI1021X,CI3126X,90000.0
CI1021X,CI3171X,90000.0
CI1021X,CI3238X,90000.0
CI1021X,CI3330X,90000.0
CI1021X,CI333X,21600.0
CI1021X,CI3367X,90000.0
CI1021X,CI3386X,90000.0
CI1021X,CI3406X,90000.0
CI1021X,CI3449X,79200.0
CI1021X,CI3459X,90000.0
CI1021X,CI3462X,90000.0
CI1021X,CI3464X,90000.0
CI1021X,CI3465X,90000.0
CI1021X,CI3498X,90000.0
CI1021X,CI3499X,90000.0
CI1021X,CI3509X,90000.0
CI1021X,CI3512X,90000.0
CI1021X,CI3526X,90000.0
CI1021X,CI3540X,90000.0
CI1021X,CI3557X,90000.0
CI1021X,CI3560X,90000.0
CI1021X,CI3569X,90000.0
CI1021X,CI3581X,90000.0
CI1021X,CI501X,90000.0
CI1021X,CI69X,90000.0
CI1021X,CI765X,90000.0
CI1021X,FT150X,90000.0
CI1021X,PJ3531X,90000.0
CI1021X,PJ564X,90000.0
CI1024X,1,18000.0
CI1024X,CI1004X,7200.0
CI1024X,CI100X,14400.0
CI1024X,CI1074X,90000.0
CI1024X,CI1226X,90000.0
CI1024X,CI1277X,90000.0
CI1024X,CI1305X,90000.0
CI1024X,CI1360X,90000.0
CI1024X,CI1385X,90000.0
CI1024X,CI1479X,90000.0
CI1024X,CI1508X,90000.0
CI1024X,CI150X,90000.0
CI1024X,CI15X,90000.0
CI1024X,CI1638X,90000.0
CI1024X,CI170X,90000.0
CI1024X,CI1786X,90000.0
CI1024X,CI193X,90000.0
CI1024X,CI1X,18000.0
CI1024X,CI2,90000.0
CI1024X,CI2056X,90000.0
CI1024X,CI206X,90000.0
CI1024X,CI2124X,90000.0
CI1024X,CI2150X,90000.0
CI1024X,CI226X,90000.0
CI1024X,CI2274X,90000.0
CI1024X,CI227X,90000.0
CI1024X,CI2313X,90000.0
CI1024X,CI248X,90000.0
CI1024X,CI266X,90000.0
CI1024X,CI2879X,90000.0
CI1024X,CI2920X,90000.0
CI1024X,CI2994X,90000.0
CI1024X,CI3067X,90000.0
CI1024X,CI3105X,90000.0
CI1024X,CI3126X,90000.0
CI1024X,CI3171X,90000.0
CI1024X,CI3238X,90000.0
CI1024X,CI3330X,90000.0
CI1024X,CI333X,18000.0
CI1024X,CI3367X,90000.0
CI1024X,CI3386X,90000.0
CI1024X,CI3406X,90000.0
CI1024X,CI3449X,82800.0
CI1024X,CI3459X,90000.0
CI1024X,CI3462X,90000.0
CI1024X,CI3464X,90000.0
CI1024X,CI3465X,90000.0
CI1024X,CI3498X,90000.0
CI1024X,CI3499X,90000.0
CI1024X,CI3509X,90000.0
CI1024X,CI3512X,90000.0
CI1024X,CI3526X,90000.0
CI1024X,CI3540X,90000.0
CI1024X,CI3557X,90000.0
CI1024X,CI3560X,90000.0
CI1024X,CI3569X,90000.0
CI1024X,CI3581X,90000.0
CI1024X,CI501X,90000.0
CI1024X,CI69X,90000.0
CI1024X,CI765X,90000.0
CI1024X,FT150X,90000.0
CI1024X,PJ3531X,90000.0
CI1024X,PJ564X,90000.0
CI1027X,1,14400.0
CI1027X,CI1004X,90000.0
CI1027X,CI100X,10800.0
CI1027X,CI1074X,90000.0
CI1027X,CI1226X,90000.0
CI1027X,CI1277X,90000.0
CI1027X,CI1305X,90000.0
CI1027X,CI1360X,90000.0
CI1027X,CI1385X,90000.0
CI1027X,CI1479X,90000.0
CI1027X,CI1508X,90000.0
CI1027X,CI150X,90000.0
CI1027X,CI15X,90000.0
CI1027X,CI1638X,90000.0
CI1027X,CI170X,90000.0
CI1027X,CI1786X,90000.0
CI1027X,CI193X,90000.0
CI1027X,CI1X,10800.0
CI1027X,CI2,90000.0
CI1027X,CI2056X,90000.0
CI1027X,CI206X,90000.0
CI1027X,CI2124X,90000.0
CI1027X,CI2150X,90000.0
CI1027X,CI226X,90000.0
CI1027X,CI2274X,90000.0
CI1027X,CI227X,90000.0
CI1027X,CI2313X,90000.0
CI1027X,CI248X,90000.0
CI1027X,CI266X,90000.0
CI1027X,CI2879X,90000.0
CI1027X,CI2920X,90000.0
CI1027X,CI2994X,90000.0
CI1027X,CI3067X,90000.0
CI1027X,CI3105X,90000.0
CI1027X,CI3126X,90000.0
CI1027X,CI3171X,90000.0
CI1027X,CI3238X,90000.0
CI1027X,CI3330X,90000.0
CI1027X,CI333X,14400.0
CI1027X,CI3367X,90000.0
CI1027X,CI3386X,90000.0
CI1027X,CI3406X,90000.0
CI1027X,CI3449X,28800.0
CI1027X,CI3459X,90000.0
CI1027X,CI3462X,90000.0
CI1027X,CI3464X,90000.0
CI1027X,CI3465X,90000.0
CI1027X,CI3498X,90000.0
CI1027X,CI3499X,90000.0
CI1027X,CI3509X,90000.0
CI1027X,CI3512X,90000.0
CI1027X,CI3526X,90000.0
CI1027X,CI3540X,90000.0
CI1027X,CI3557X,90000.0
CI1027X,CI3560X,90000.0
CI1027X,CI3569X,90000.0
CI1027X,CI3581X,90000.0
CI1027X,CI501X,90000.0
CI1027X,CI69X,90000.0
CI1027X,CI765X,90000.0
CI1027X,FT150X,90000.0
CI1027X,PJ3531X,90000.0
CI1027X,PJ564X,90000.0
CI102X,1,39600.0
CI102X,CI1004X,90000.0
CI102X,CI100X,90000.0
CI102X,CI1074X,90000.0
CI102X,CI1226X,90000.0
CI102X,CI1277X,90000.0
CI102X,CI1305X,90000.0
CI102X,CI1360X,90000.0
CI102X,CI1385X,90000.0
CI102X,CI1479X,90000.0
CI102X,CI1508X,90000.0
CI102X,CI150X,90000.0
CI102X,CI15X,90000.0
CI102X,CI1638X,90000.0
CI102X,CI170X,90000.0
CI102X,CI1786X,90000.0
CI102X,CI193X,90000.0
CI102X,CI1X,3600.0
CI102X,CI2,90000.0
CI102X,CI2056X,90000.0
CI102X,CI206X,90000.0
CI102X,CI2124X,90000.0
CI102X,CI2150X,90000.0
CI102X,CI226X,90000.0
CI102X,CI2274X,90000.0
CI102X,CI227X,90000.0
CI102X,CI2313X,90000.0
CI102X,CI248X,79200.0
CI102X,CI266X,90000.0
CI102X,CI2879X,90000.0
CI102X,CI2920X,90000.0
CI102X,CI2994X,90000.0
CI102X,CI3067X,90000.0
CI102X,CI3105X,90000.0
CI102X,CI3126X,90000.0
CI102X,CI3171X,90000.0
CI102X,CI3238X,90000.0
CI102X,CI3330X,90000.0
CI102X,CI333X,90000.0
CI102X,CI3367X,90000.0
CI102X,CI3386X,90000.0
CI102X,CI3406X,90000.0
CI102X,CI3449X,21600.0
CI102X,CI3459X,90000.0
CI102X,CI3462X,90000.0
CI102X,CI3464X,90000.0
CI102X,CI3465X,90000.0
CI102X,CI3498X,90000.0
CI102X,CI3499X,90000.0
CI102X,CI3509X,90000.0
CI102X,CI3512X,90000.0
CI102X,CI3526X,90000.0
CI102X,CI3540X,90000.0
CI102X,CI3557X,90000.0
CI102X,CI3560X,90000.0
CI102X,CI3569X,90000.0
CI102X,CI3581X,90000.0
CI102X,CI501X,90000.0
CI102X,CI69X,25200.0
CI102X,CI765X,90000.0
CI102X,FT150X,90000.0
CI102X,PJ3531X,90000.0
CI102X,PJ564X,90000.0
CI1052X,1,14400.0
CI1052X,CI1004X,90000.0
CI1052X,CI100X,10800.0
CI1052X,CI1074X,90000.0
CI1052X,CI1226X,90000.0
CI1052X,CI1277X,90000.0
CI1052X,CI1305X,90000.0
CI1052X,CI1360X,90000.0
CI1052X,CI1385X,90000.0
CI1052X,CI1479X,90000.0
CI1052X,CI1508X,90000.0
CI1052X,CI150X,90000.0
CI1052X,CI15X,90000.0
CI1052X,CI1638X,90000.0
CI1052X,CI170X,90000.0
CI1052X,CI1786X,90000.0
CI1052X,CI193X,90000.0
CI1052X,CI1X,14400.0
CI1052X,CI2,90000.0
CI1052X,CI2056X,90000.0
CI1052X,CI206X,90000.0
CI1052X,CI2124X,90000.0
CI1052X,CI2150X,90000.0
CI1052X,CI226X,90000.0
CI1052X,CI2274X,90000.0
CI1052X,CI227X,90000.0
CI1052X,CI2313X,90000.0
CI1052X,CI248X,90000.0
CI1052X,CI266X,90000.0
CI1052X,CI2879X,90000.0
CI1052X,CI2920X,90000.0
CI1052X,CI2994X,90000.0
CI1052X,CI3067X,90000.0
CI1052X,CI3105X,90000.0
CI1052X,CI3126X,90000.0
CI1052X,CI3171X,90000.0
CI1052X,CI3238X,90000.0
CI1052X,CI3330X,90000.0
CI1052X,CI333X,14400.0
CI1052X,CI3367X,90000.0
CI1052X,CI3386X,90000.0
CI1052X,CI3406X,90000.0
CI1052X,CI3449X,32400.0
CI1052X,CI3459X,90000.0
CI1052X,CI3462X,90000.0
CI1052X,CI3464X,90000.0
CI1052X,CI3465X,90000.0
CI1052X,CI3498X,90000.0
CI1052X,CI3499X,90000.0
CI1052X,CI3509X,90000.0
CI1052X,CI3512X,90000.0
CI1052X,CI3526X,90000.0
CI1052X,CI3540X,90000.0
CI1052X,CI3557X,90000.0
CI1052X,CI3560X,90000.0
CI1052X,CI3569X,90000.0
CI1052X,CI3581X,90000.0
CI1052X,CI501X,90000.0
CI1052X,CI69X,90000.0
CI1052X,CI765X,90000.0
CI1052X,FT150X,90000.0
CI1052X,PJ3531X,90000.0
CI1052X,PJ564X,90000.0
CI1074X,1,7200.0
CI1074X,CI1004X,90000.0
CI1074X,CI100X,7200.0
CI1074X,CI1074X,0.0
CI1074X,CI1226X,90000.0
CI1074X,CI1277X,90000.0
CI1074X,CI1305X,90000.0
CI1074X,CI1360X,90000.0
CI1074X,CI1385X,90000.0
CI1074X,CI1479X,90000.0
CI1074X,CI1508X,90000.0
CI1074X,CI150X,90000.0
CI1074X,CI15X,90000.0
CI1074X,CI1638X,90000.0
CI1074X,CI170X,90000.0
CI1074X,CI1786X,90000.0
CI1074X,CI193X,90000.0
CI1074X,CI1X,7200.0
CI1074X,CI2,90000.0
CI1074X,CI2056X,90000.0
CI1074X,CI206X,90000.0
CI1074X,CI2124X,90000.0
CI1074X,CI2150X,90000.0
CI1074X,CI226X,90000.0
CI1074X,CI2274X,90000.0
CI1074X,CI227X,90000.0
CI1074X,CI2313X,90000.0
CI1074X,CI248X,90000.0
CI1074X,CI266X,90000.0
CI1074X,CI2879X,90000.0
CI1074X,CI2920X,90000.0
CI1074X,CI2994X,90000.0
CI1074X,CI3067X,90000.0
CI1074X,CI3105X,90000.0
CI1074X,CI3126X,90000.0
CI1074X,CI3171X,90000.0
CI1074X,CI3238X,90000.0
CI1074X,CI3330X,90000.0
CI1074X,CI333X,14400.0
CI1074X,CI3367X,90000.0
CI1074X,CI3386X,90000.0
CI1074X,CI3406X,90000.0
CI1074X,CI3449X,25200.0
