scenario,sensor,impact
10,2,90000.0
10,3,90000.0
10,4,90000.0
10,5,90000.0
10,6,90000.0
10,7,90000.0
10,8,90000.0
10,9,90000.0
10,10,0.0
10,11,3600.0
10,12,3600.0
10,13,3600.0
10,14,90000.0
10,15,90000.0
10,16,90000.0
10,17,90000.0
10,18,90000.0
10,19,90000.0
10,20,90000.0
10,21,90000.0
10,22,90000.0
10,23,90000.0
10,24,90000.0
10,25,90000.0
10,26,90000.0
10,27,90000.0
10,28,90000.0
10,29,90000.0
10,30,90000.0
10,31,90000.0
10,32,90000.0
10,1,90000.0
11,2,90000.0
11,3,90000.0
11,4,90000.0
11,5,90000.0
11,6,90000.0
11,7,90000.0
11,8,90000.0
11,9,90000.0
11,10,90000.0
11,11,0.0
11,12,3600.0
11,13,3600.0
11,14,90000.0
11,15,90000.0
11,16,90000.0
11,17,90000.0
11,18,90000.0
11,19,90000.0
11,20,90000.0
11,21,90000.0
11,22,90000.0
11,23,90000.0
11,24,90000.0
11,25,90000.0
11,26,90000.0
11,27,90000.0
11,28,90000.0
11,29,90000.0
11,30,90000.0
11,31,90000.0
11,32,90000.0
11,1,90000.0
12,2,90000.0
12,3,90000.0
12,4,90000.0
12,5,90000.0
12,6,90000.0
12,7,90000.0
12,8,90000.0
12,9,90000.0
12,10,90000.0
12,11,90000.0
12,12,0.0
12,13,3600.0
12,14,90000.0
12,15,90000.0
12,16,90000.0
12,17,90000.0
12,18,90000.0
12,19,90000.0
12,20,90000.0
12,21,90000.0
12,22,90000.0
12,23,90000.0
12,24,90000.0
12,25,90000.0
12,26,90000.0
12,27,90000.0
12,28,90000.0
12,29,90000.0
12,30,90000.0
12,31,90000.0
12,32,90000.0
12,1,90000.0
13,2,90000.0
13,3,90000.0
13,4,90000.0
13,5,90000.0
13,6,90000.0
13,7,90000.0
13,8,90000.0
13,9,90000.0
13,10,90000.0
13,11,90000.0
13,12,90000.0
13,13,0.0
13,14,90000.0
13,15,90000.0
13,16,90000.0
13,17,90000.0
13,18,90000.0
13,19,90000.0
13,20,90000.0
13,21,90000.0
13,22,90000.0
13,23,90000.0
13,24,90000.0
13,25,90000.0
13,26,90000.0
13,27,90000.0
13,28,90000.0
13,29,90000.0
13,30,90000.0
13,31,90000.0
13,32,90000.0
13,1,90000.0
14,2,90000.0
14,3,90000.0
14,4,90000.0
14,5,90000.0
14,6,90000.0
14,7,90000.0
14,8,90000.0
14,9,90000.0
14,10,3600.0
14,11,3600.0
14,12,3600.0
14,13,3600.0
14,14,0.0
14,15,90000.0
14,16,90000.0
14,17,90000.0
14,18,90000.0
14,19,90000.0
14,20,90000.0
14,21,90000.0
14,22,90000.0
14,23,90000.0
14,24,90000.0
14,25,90000.0
14,26,90000.0
14,27,90000.0
14,28,90000.0
14,29,90000.0
14,30,90000.0
14,31,90000.0
14,32,90000.0
14,1,90000.0
15,2,90000.0
15,3,90000.0
15,4,90000.0
15,5,90000.0
15,6,90000.0
15,7,90000.0
15,8,90000.0
15,9,90000.0
15,10,3600.0
15,11,3600.0
15,12,3600.0
15,13,3600.0
15,14,3600.0
15,15,0.0
15,16,90000.0
15,17,90000.0
15,18,90000.0
15,19,90000.0
15,20,90000.0
15,21,90000.0
15,22,90000.0
15,23,90000.0
15,24,90000.0
15,25,90000.0
15,26,90000.0
15,27,90000.0
15,28,90000.0
15,29,90000.0
15,30,90000.0
15,31,90000.0
15,32,90000.0
15,1,90000.0
16,2,90000.0
16,3,90000.0
16,4,90000.0
16,5,90000.0
16,6,90000.0
16,7,90000.0
16,8,90000.0
16,9,90000.0
16,10,3600.0
16,11,3600.0
16,12,3600.0
16,13,3600.0
16,14,3600.0
16,15,3600.0
16,16,0.0
16,17,90000.0
16,18,90000.0
16,19,90000.0
16,20,90000.0
16,21,90000.0
16,22,90000.0
16,23,90000.0
16,24,90000.0
16,25,3600.0
16,26,3600.0
16,27,3600.0
16,28,90000.0
16,29,90000.0
16,30,90000.0
16,31,3600.0
16,32,3600.0
16,1,90000.0
17,2,90000.0
17,3,90000.0
17,4,90000.0
17,5,90000.0
17,6,90000.0
17,7,90000.0
17,8,90000.0
17,9,90000.0
17,10,3600.0
17,11,3600.0
17,12,3600.0
17,13,3600.0
17,14,3600.0
17,15,3600.0
17,16,3600.0
17,17,0.0
17,18,90000.0
17,19,90000.0
17,20,90000.0
17,21,90000.0
17,22,90000.0
17,23,90000.0
17,24,90000.0
17,25,3600.0
17,26,3600.0
17,27,3600.0
17,28,90000.0
17,29,90000.0
17,30,90000.0
17,31,3600.0
17,32,3600.0
17,1,90000.0
18,2,90000.0
18,3,90000.0
18,4,90000.0
18,5,90000.0
18,6,90000.0
18,7,90000.0
18,8,90000.0
18,9,90000.0
18,10,3600.0
18,11,3600.0
18,12,3600.0
18,13,3600.0
18,14,3600.0
18,15,3600.0
18,16,3600.0
18,17,3600.0
18,18,0.0
18,19,90000.0
18,20,90000.0
18,21,90000.0
18,22,90000.0
18,23,90000.0
18,24,90000.0
18,25,3600.0
18,26,3600.0
18,27,3600.0
18,28,90000.0
18,29,90000.0
18,30,90000.0
18,31,3600.0
18,32,3600.0
18,1,90000.0
19,2,90000.0
19,3,90000.0
19,4,90000.0
19,5,90000.0
19,6,90000.0
19,7,90000.0
19,8,90000.0
19,9,90000.0
19,10,3600.0
19,11,3600.0
19,12,3600.0
19,13,3600.0
19,14,3600.0
19,15,3600.0
19,16,3600.0
19,17,3600.0
19,18,3600.0
19,19,0.0
19,20,90000.0
19,21,90000.0
19,22,90000.0
19,23,90000.0
19,24,90000.0
19,25,3600.0
19,26,3600.0
19,27,3600.0
19,28,90000.0
19,29,90000.0
19,30,90000.0
19,31,3600.0
19,32,3600.0
19,1,90000.0
2,2,0.0
2,3,3600.0
2,4,3600.0
2,5,3600.0
2,6,3600.0
2,7,3600.0
2,8,3600.0
2,9,3600.0
2,10,3600.0
2,11,3600.0
2,12,3600.0
2,13,3600.0
2,14,3600.0
2,15,3600.0
2,16,3600.0
2,17,3600.0
2,18,3600.0
2,19,3600.0
2,20,3600.0
2,21,3600.0
2,22,3600.0
2,23,3600.0
2,24,3600.0
2,25,3600.0
2,26,3600.0
2,27,3600.0
2,28,3600.0
2,29,3600.0
2,30,3600.0
2,31,3600.0
2,32,3600.0
2,1,90000.0
20,2,90000.0
20,3,90000.0
20,4,90000.0
20,5,90000.0
20,6,90000.0
20,7,90000.0
20,8,90000.0
20,9,90000.0
20,10,90000.0
20,11,90000.0
20,12,90000.0
20,13,90000.0
20,14,90000.0
20,15,90000.0
20,16,90000.0
20,17,90000.0
20,18,90000.0
20,19,90000.0
20,20,0.0
20,21,3600.0
20,22,3600.0
20,23,3600.0
20,24,3600.0
20,25,3600.0
20,26,90000.0
20,27,90000.0
20,28,3600.0
20,29,3600.0
20,30,3600.0
20,31,3600.0
20,32,3600.0
20,1,90000.0
21,2,90000.0
21,3,90000.0
21,4,90000.0
21,5,90000.0
21,6,90000.0
21,7,90000.0
21,8,90000.0
21,9,90000.0
21,10,90000.0
21,11,90000.0
21,12,90000.0
21,13,90000.0
21,14,90000.0
21,15,90000.0
21,16,90000.0
21,17,90000.0
21,18,90000.0
21,19,90000.0
21,20,90000.0
21,21,0.0
21,22,3600.0
21,23,90000.0
21,24,90000.0
21,25,90000.0
21,26,90000.0
21,27,90000.0
21,28,90000.0
21,29,90000.0
21,30,90000.0
21,31,90000.0
21,32,90000.0
21,1,90000.0
22,2,90000.0
22,3,90000.0
22,4,90000.0
22,5,90000.0
22,6,90000.0
22,7,90000.0
22,8,90000.0
22,9,90000.0
22,10,90000.0
22,11,90000.0
22,12,90000.0
22,13,90000.0
22,14,90000.0
22,15,90000.0
22,16,90000.0
22,17,90000.0
22,18,90000.0
22,19,90000.0
22,20,90000.0
22,21,90000.0
22,22,0.0
22,23,90000.0
22,24,90000.0
22,25,90000.0
22,26,90000.0
22,27,90000.0
22,28,90000.0
22,29,90000.0
22,30,90000.0
22,31,90000.0
22,32,90000.0
22,1,90000.0
23,2,90000.0
23,3,90000.0
23,4,90000.0
23,5,90000.0
23,6,90000.0
23,7,90000.0
23,8,90000.0
23,9,90000.0
23,10,90000.0
23,11,90000.0
23,12,90000.0
23,13,90000.0
23,14,90000.0
23,15,90000.0
23,16,90000.0
23,17,90000.0
23,18,90000.0
23,19,90000.0
23,20,90000.0
23,21,90000.0
23,22,90000.0
23,23,0.0
23,24,3600.0
23,25,3600.0
23,26,90000.0
23,27,90000.0
23,28,3600.0
23,29,3600.0
23,30,3600.0
23,31,3600.0
23,32,3600.0
23,1,90000.0
24,2,90000.0
24,3,90000.0
24,4,90000.0
24,5,90000.0
24,6,90000.0
24,7,90000.0
24,8,90000.0
24,9,90000.0
24,10,90000.0
24,11,90000.0
24,12,90000.0
24,13,90000.0
24,14,90000.0
24,15,90000.0
24,16,90000.0
24,17,90000.0
24,18,90000.0
24,19,90000.0
24,20,90000.0
24,21,90000.0
24,22,90000.0
24,23,90000.0
24,24,0.0
24,25,3600.0
24,26,90000.0
24,27,90000.0
24,28,90000.0
24,29,90000.0
24,30,90000.0
24,31,3600.0
24,32,3600.0
24,1,90000.0
25,2,90000.0
25,3,90000.0
25,4,90000.0
25,5,90000.0
25,6,90000.0
25,7,90000.0
25,8,90000.0
25,9,90000.0
25,10,90000.0
25,11,90000.0
25,12,90000.0
25,13,90000.0
25,14,90000.0
25,15,90000.0
25,16,90000.0
25,17,90000.0
25,18,90000.0
25,19,90000.0
25,20,90000.0
25,21,90000.0
25,22,90000.0
25,23,90000.0
25,24,90000.0
25,25,0.0
25,26,90000.0
25,27,90000.0
25,28,90000.0
25,29,90000.0
25,30,90000.0
25,31,3600.0
25,32,3600.0
25,1,90000.0
26,2,90000.0
26,3,90000.0
26,4,90000.0
26,5,90000.0
26,6,90000.0
26,7,90000.0
26,8,90000.0
26,9,90000.0
26,10,90000.0
26,11,90000.0
26,12,90000.0
26,13,90000.0
26,14,90000.0
26,15,90000.0
26,16,90000.0
26,17,90000.0
26,18,90000.0
26,19,90000.0
26,20,90000.0
26,21,90000.0
26,22,90000.0
26,23,90000.0
26,24,90000.0
26,25,3600.0
26,26,0.0
26,27,90000.0
26,28,90000.0
26,29,90000.0
26,30,90000.0
26,31,3600.0
26,32,3600.0
26,1,90000.0
27,2,90000.0
27,3,90000.0
27,4,90000.0
27,5,90000.0
27,6,90000.0
27,7,90000.0
27,8,90000.0
27,9,90000.0
27,10,90000.0
27,11,90000.0
27,12,90000.0
27,13,90000.0
27,14,90000.0
27,15,90000.0
27,16,90000.0
27,17,90000.0
27,18,90000.0
27,19,90000.0
27,20,90000.0
27,21,90000.0
27,22,90000.0
27,23,90000.0
27,24,90000.0
27,25,3600.0
27,26,3600.0
27,27,0.0
27,28,90000.0
27,29,90000.0
27,30,90000.0
27,31,3600.0
27,32,3600.0
27,1,90000.0
28,2,90000.0
28,3,90000.0
28,4,90000.0
28,5,90000.0
28,6,90000.0
28,7,90000.0
28,8,90000.0
28,9,90000.0
28,10,90000.0
28,11,90000.0
28,12,90000.0
28,13,90000.0
28,14,90000.0
28,15,90000.0
28,16,90000.0
28,17,90000.0
28,18,90000.0
28,19,90000.0
28,20,90000.0
28,21,90000.0
28,22,90000.0
28,23,90000.0
28,24,90000.0
28,25,90000.0
28,26,90000.0
28,27,90000.0
28,28,0.0
28,29,3600.0
28,30,3600.0
28,31,3600.0
28,32,90000.0
28,1,90000.0
29,2,90000.0
29,3,90000.0
29,4,90000.0
29,5,90000.0
29,6,90000.0
29,7,90000.0
29,8,90000.0
29,9,90000.0
29,10,90000.0
29,11,90000.0
29,12,90000.0
29,13,90000.0
29,14,90000.0
29,15,90000.0
29,16,90000.0
29,17,90000.0
29,18,90000.0
29,19,90000.0
29,20,90000.0
29,21,90000.0
29,22,90000.0
29,23,90000.0
29,24,90000.0
29,25,90000.0
29,26,90000.0
29,27,90000.0
29,28,90000.0
29,29,0.0
29,30,3600.0
29,31,3600.0
29,32,90000.0
29,1,90000.0
3,2,90000.0
3,3,0.0
3,4,3600.0
3,5,3600.0
3,6,3600.0
3,7,3600.0
3,8,3600.0
3,9,3600.0
3,10,3600.0
3,11,3600.0
3,12,3600.0
3,13,3600.0
3,14,3600.0
3,15,3600.0
3,16,3600.0
3,17,3600.0
3,18,3600.0
3,19,3600.0
3,20,3600.0
3,21,3600.0
3,22,3600.0
3,23,3600.0
3,24,3600.0
3,25,3600.0
3,26,3600.0
3,27,3600.0
3,28,3600.0
3,29,3600.0
3,30,3600.0
3,31,3600.0
3,32,3600.0
3,1,90000.0
30,2,90000.0
30,3,90000.0
30,4,90000.0
30,5,90000.0
30,6,90000.0
30,7,90000.0
30,8,90000.0
30,9,90000.0
30,10,90000.0
30,11,90000.0
30,12,90000.0
30,13,90000.0
30,14,90000.0
30,15,90000.0
30,16,90000.0
30,17,90000.0
30,18,90000.0
30,19,90000.0
30,20,90000.0
30,21,90000.0
30,22,90000.0
30,23,90000.0
30,24,90000.0
30,25,90000.0
30,26,90000.0
30,27,90000.0
30,28,90000.0
30,29,90000.0
30,30,0.0
30,31,3600.0
30,32,90000.0
30,1,90000.0
31,2,90000.0
31,3,90000.0
31,4,90000.0
31,5,90000.0
31,6,90000.0
31,7,90000.0
31,8,90000.0
31,9,90000.0
31,10,90000.0
31,11,90000.0
31,12,90000.0
31,13,90000.0
31,14,90000.0
31,15,90000.0
31,16,90000.0
31,17,90000.0
31,18,90000.0
31,19,90000.0
31,20,90000.0
31,21,90000.0
31,22,90000.0
31,23,90000.0
31,24,90000.0
31,25,90000.0
31,26,90000.0
31,27,90000.0
31,28,90000.0
31,29,90000.0
31,30,90000.0
31,31,0.0
31,32,90000.0
31,1,90000.0
32,2,90000.0
32,3,90000.0
32,4,90000.0
32,5,90000.0
32,6,90000.0
32,7,90000.0
